pet_id,date,activity_type,duration_minutes,issue,resolution,owner_id,owner_age_group,pet_type
236,2023-06-19,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6300,18-25,Fish
239,2023-03-02,Playing,,,,1625,36-45,Fish
239,2023-09-17,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,1625,36-45,Fish
239,2023-10-06,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",1625,36-45,Fish
239,2023-10-15,Playing,,,,1625,36-45,Fish
248,2022-07-20,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",7635,66+,Dog
248,2022-11-06,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,7635,66+,Dog
249,2022-08-29,Resting,,,,4535,56-65,Dog
249,2022-10-24,Walking,62.0,,,4535,56-65,Dog
306,2022-12-03,Playing,57.0,,,9972,66+,Rabbit
306,2023-10-29,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9972,66+,Rabbit
309,2022-04-13,Playing,32.0,,,4240,66+,Rabbit
309,2022-05-20,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",4240,66+,Rabbit
309,2022-08-06,Resting,37.0,,,4240,66+,Rabbit
309,2022-10-31,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4240,66+,Rabbit
309,2022-11-11,Resting,73.0,,,4240,66+,Rabbit
309,2022-11-28,Walking,,,,4240,66+,Rabbit
309,2023-05-02,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,4240,66+,Rabbit
309,2023-06-09,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4240,66+,Rabbit
337,2022-04-03,Resting,20.0,,,2263,36-45,Cat
337,2023-01-01,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,2263,36-45,Cat
337,2023-04-09,Resting,54.0,,,2263,36-45,Cat
337,2023-05-07,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,2263,36-45,Cat
337,2023-11-27,Walking,21.0,,,2263,36-45,Cat
337,2023-12-21,Playing,32.0,,,2263,36-45,Cat
379,2022-05-15,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,1444,36-45,Cat
427,2022-11-08,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,6043,66+,Rabbit
427,2022-12-31,Playing,5.0,,,6043,66+,Rabbit
427,2023-12-20,Walking,41.0,,,6043,66+,Rabbit
428,2023-03-31,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",3245,56-65,Dog
454,2022-08-08,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,7985,26-35,Fish
473,2022-06-22,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,1387,56-65,Hamster
473,2022-11-05,Walking,53.0,,,1387,56-65,Hamster
473,2023-03-21,Walking,35.0,,,1387,56-65,Hamster
500,2022-10-02,Resting,45.0,,,9128,26-35,Cat
500,2023-09-24,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",9128,26-35,Cat
503,2022-10-16,Walking,,,,6083,66+,Fish
503,2023-05-07,Resting,47.0,,,6083,66+,Fish
503,2023-07-13,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",6083,66+,Fish
516,2023-02-13,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",7142,66+,Rabbit
532,2022-07-30,Health,0.0,Injury,"Minor surgery performed, recovery monitored",5345,18-25,Fish
532,2023-07-26,Walking,72.0,,,5345,18-25,Fish
538,2022-05-26,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",5293,46-55,Fish
538,2022-11-08,Health,0.0,Injury,"Minor surgery performed, recovery monitored",5293,46-55,Fish
538,2023-05-18,Resting,71.0,,,5293,46-55,Fish
538,2023-06-14,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",5293,46-55,Fish
542,2022-06-09,Playing,71.0,,,6776,18-25,Hamster
542,2022-11-07,Playing,2.0,,,6776,18-25,Hamster
542,2023-03-28,Playing,62.0,,,6776,18-25,Hamster
542,2023-11-27,Resting,90.0,,,6776,18-25,Hamster
556,2023-02-28,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",3870,26-35,Fish
556,2023-04-04,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,3870,26-35,Fish
556,2023-11-03,Walking,34.0,,,3870,26-35,Fish
556,2023-12-23,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",3870,26-35,Fish
579,2022-11-05,Playing,33.0,,,7956,56-65,Dog
579,2023-01-20,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",7956,56-65,Dog
579,2023-04-07,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",7956,56-65,Dog
579,2023-12-26,Playing,,,,7956,56-65,Dog
585,2022-05-27,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",9685,26-35,Dog
585,2022-11-22,Resting,,,,9685,26-35,Dog
585,2023-03-01,Resting,,,,9685,26-35,Dog
585,2023-10-29,Walking,4.0,,,9685,26-35,Dog
601,2023-03-01,Playing,42.0,,,321,18-25,Fish
601,2023-04-19,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",321,18-25,Fish
601,2023-07-21,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",321,18-25,Fish
601,2023-12-28,Playing,76.0,,,321,18-25,Fish
627,2022-10-03,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",5611,46-55,Fish
627,2022-10-07,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,5611,46-55,Fish
627,2022-10-29,Resting,89.0,,,5611,46-55,Fish
627,2023-02-15,Resting,45.0,,,5611,46-55,Fish
627,2023-09-17,Walking,,,,5611,46-55,Fish
637,2022-04-04,Playing,33.0,,,6918,56-65,Cat
637,2022-05-11,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",6918,56-65,Cat
637,2022-07-11,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6918,56-65,Cat
637,2022-10-12,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",6918,56-65,Cat
637,2023-02-15,Health,0.0,Injury,"Minor surgery performed, recovery monitored",6918,56-65,Cat
637,2023-07-07,Health,0.0,Injury,Physical therapy recommended for joint issues,6918,56-65,Cat
637,2023-10-26,Playing,,,,6918,56-65,Cat
658,2022-07-04,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6072,18-25,Dog
658,2022-07-23,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6072,18-25,Dog
658,2023-06-06,Playing,4.0,,,6072,18-25,Dog
694,2022-07-21,Walking,11.0,,,6526,26-35,Hamster
694,2022-07-30,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",6526,26-35,Hamster
694,2022-08-06,Resting,67.0,,,6526,26-35,Hamster
696,2022-12-10,Playing,35.0,,,1036,26-35,Rabbit
696,2022-12-27,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1036,26-35,Rabbit
696,2023-05-08,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1036,26-35,Rabbit
696,2023-11-30,Resting,70.0,,,1036,26-35,Rabbit
717,2022-09-07,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",9637,46-55,Dog
717,2023-11-19,Playing,21.0,,,9637,46-55,Dog
741,2022-06-29,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,3823,26-35,Rabbit
741,2022-11-08,Health,0.0,Injury,Physical therapy recommended for joint issues,3823,26-35,Rabbit
741,2023-01-10,Playing,36.0,,,3823,26-35,Rabbit
741,2023-06-18,Walking,,,,3823,26-35,Rabbit
751,2022-10-15,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,7703,46-55,Fish
751,2022-10-16,Playing,29.0,,,7703,46-55,Fish
751,2023-02-09,Walking,,,,7703,46-55,Fish
751,2023-04-21,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",7703,46-55,Fish
751,2023-09-26,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,7703,46-55,Fish
751,2023-10-29,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",7703,46-55,Fish
774,2023-11-09,Playing,50.0,,,8152,26-35,Dog
774,2023-12-22,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,8152,26-35,Dog
774,2023-12-24,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,8152,26-35,Dog
782,2022-08-13,Walking,50.0,,,3884,26-35,Cat
782,2022-09-14,Playing,87.0,,,3884,26-35,Cat
782,2023-08-10,Walking,43.0,,,3884,26-35,Cat
782,2023-09-24,Playing,66.0,,,3884,26-35,Cat
831,2022-09-10,Resting,,,,5416,46-55,Cat
831,2022-10-19,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",5416,46-55,Cat
831,2022-11-15,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",5416,46-55,Cat
831,2023-01-13,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",5416,46-55,Cat
831,2023-02-14,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,5416,46-55,Cat
831,2023-04-08,Walking,5.0,,,5416,46-55,Cat
833,2022-12-15,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",7440,66+,Fish
833,2023-05-28,Playing,79.0,,,7440,66+,Fish
833,2023-12-05,Resting,73.0,,,7440,66+,Fish
850,2022-10-16,Resting,49.0,,,3475,26-35,Hamster
850,2023-07-26,Resting,42.0,,,3475,26-35,Hamster
850,2023-12-05,Resting,29.0,,,3475,26-35,Hamster
864,2023-02-09,Resting,28.0,,,9359,18-25,Cat
864,2023-11-14,Health,0.0,Injury,Physical therapy recommended for joint issues,9359,18-25,Cat
884,2022-04-01,Walking,79.0,,,1349,46-55,Cat
986,2023-03-08,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,5102,18-25,Hamster
986,2023-04-18,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,5102,18-25,Hamster
986,2023-05-28,Playing,58.0,,,5102,18-25,Hamster
986,2023-08-12,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",5102,18-25,Hamster
997,2022-05-05,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",7886,26-35,Hamster
997,2022-06-01,Playing,16.0,,,7886,26-35,Hamster
997,2022-10-28,Health,0.0,Injury,Physical therapy recommended for joint issues,7886,26-35,Hamster
997,2023-04-21,Resting,11.0,,,7886,26-35,Hamster
997,2023-07-23,Playing,,,,7886,26-35,Hamster
1001,2022-08-01,Playing,34.0,,,4166,46-55,Dog
1001,2023-01-08,Walking,53.0,,,4166,46-55,Dog
1001,2023-03-25,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4166,46-55,Dog
1001,2023-09-21,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",4166,46-55,Dog
1006,2022-05-09,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",4000,18-25,Cat
1006,2022-05-20,Resting,18.0,,,4000,18-25,Cat
1006,2022-07-05,Walking,49.0,,,4000,18-25,Cat
1006,2023-05-16,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,4000,18-25,Cat
1006,2023-06-07,Playing,47.0,,,4000,18-25,Cat
1006,2023-09-17,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,4000,18-25,Cat
1047,2022-04-26,Playing,16.0,,,6893,18-25,Dog
1047,2022-10-29,Playing,39.0,,,6893,18-25,Dog
1057,2022-08-29,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,6689,46-55,Fish
1057,2022-09-14,Walking,33.0,,,6689,46-55,Fish
1057,2023-02-23,Health,0.0,Injury,Physical therapy recommended for joint issues,6689,46-55,Fish
1057,2023-03-20,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6689,46-55,Fish
1060,2022-04-09,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1001,56-65,Rabbit
1060,2022-08-02,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1001,56-65,Rabbit
1060,2023-09-23,Resting,41.0,,,1001,56-65,Rabbit
1060,2023-12-02,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,1001,56-65,Rabbit
1115,2022-04-27,Resting,20.0,,,7620,26-35,Rabbit
1115,2022-10-28,Playing,,,,7620,26-35,Rabbit
1159,2023-11-22,Playing,10.0,,,3326,18-25,Cat
1169,2022-11-21,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1614,56-65,Cat
1169,2022-12-26,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,1614,56-65,Cat
1169,2023-01-30,Walking,22.0,,,1614,56-65,Cat
1169,2023-04-25,Playing,12.0,,,1614,56-65,Cat
1169,2023-08-20,Playing,78.0,,,1614,56-65,Cat
1169,2023-11-22,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1614,56-65,Cat
1173,2023-02-14,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,1251,56-65,Cat
1173,2023-06-28,Playing,72.0,,,1251,56-65,Cat
1204,2022-10-31,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,3070,18-25,Cat
1204,2023-04-28,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",3070,18-25,Cat
1207,2022-05-09,Walking,56.0,,,7087,26-35,Rabbit
1207,2022-07-07,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",7087,26-35,Rabbit
1207,2022-07-27,Resting,22.0,,,7087,26-35,Rabbit
1207,2023-07-04,Playing,39.0,,,7087,26-35,Rabbit
1207,2023-07-30,Playing,,,,7087,26-35,Rabbit
1207,2023-08-04,Health,0.0,Injury,Physical therapy recommended for joint issues,7087,26-35,Rabbit
1207,2023-09-23,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,7087,26-35,Rabbit
1216,2022-08-08,Resting,,,,8775,26-35,Fish
1216,2023-09-24,Playing,,,,8775,26-35,Fish
1239,2023-03-12,Resting,83.0,,,785,36-45,Fish
1239,2023-05-01,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,785,36-45,Fish
1239,2023-09-21,Playing,5.0,,,785,36-45,Fish
1239,2023-10-09,Resting,4.0,,,785,36-45,Fish
1239,2023-11-14,Walking,64.0,,,785,36-45,Fish
1261,2022-08-29,Walking,21.0,,,683,46-55,Dog
1261,2023-02-23,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",683,46-55,Dog
1261,2023-07-26,Walking,,,,683,46-55,Dog
1261,2023-11-08,Playing,,,,683,46-55,Dog
1286,2022-12-14,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",3923,36-45,Fish
1292,2022-09-26,Walking,7.0,,,5397,18-25,Dog
1292,2023-05-30,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",5397,18-25,Dog
1292,2023-06-08,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,5397,18-25,Dog
1292,2023-10-20,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",5397,18-25,Dog
1297,2022-04-05,Playing,21.0,,,576,26-35,Fish
1297,2022-05-05,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",576,26-35,Fish
1297,2022-09-03,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",576,26-35,Fish
1297,2022-09-23,Resting,48.0,,,576,26-35,Fish
1297,2022-12-31,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,576,26-35,Fish
1297,2023-02-11,Playing,51.0,,,576,26-35,Fish
1297,2023-11-04,Playing,64.0,,,576,26-35,Fish
1303,2023-01-28,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,5687,18-25,Fish
1309,2022-05-10,Resting,45.0,,,5899,18-25,Hamster
1309,2022-10-30,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",5899,18-25,Hamster
1309,2023-10-31,Walking,51.0,,,5899,18-25,Hamster
1322,2022-05-23,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1748,66+,Fish
1322,2022-06-15,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",1748,66+,Fish
1322,2023-01-21,Walking,42.0,,,1748,66+,Fish
1322,2023-04-17,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1748,66+,Fish
1334,2022-04-30,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",9632,26-35,Dog
1334,2023-12-05,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",9632,26-35,Dog
1343,2022-08-27,Resting,31.0,,,6225,18-25,Hamster
1343,2023-12-29,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6225,18-25,Hamster
1345,2022-05-12,Walking,8.0,,,9512,18-25,Fish
1345,2022-11-13,Resting,6.0,,,9512,18-25,Fish
1345,2023-06-17,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",9512,18-25,Fish
1366,2022-11-25,Walking,33.0,,,818,56-65,Dog
1366,2022-12-03,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,818,56-65,Dog
1366,2023-07-14,Walking,,,,818,56-65,Dog
1366,2023-10-08,Health,0.0,Injury,"Minor surgery performed, recovery monitored",818,56-65,Dog
1370,2022-06-13,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",3138,18-25,Hamster
1370,2022-07-23,Walking,6.0,,,3138,18-25,Hamster
1370,2022-08-06,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",3138,18-25,Hamster
1370,2022-10-11,Resting,72.0,,,3138,18-25,Hamster
1370,2023-04-25,Resting,,,,3138,18-25,Hamster
1370,2023-06-20,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,3138,18-25,Hamster
1382,2022-08-24,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",7965,36-45,Dog
1382,2022-11-18,Playing,40.0,,,7965,36-45,Dog
1382,2023-03-26,Health,0.0,Injury,"Minor surgery performed, recovery monitored",7965,36-45,Dog
1382,2023-10-26,Resting,23.0,,,7965,36-45,Dog
1417,2022-06-26,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1834,46-55,Rabbit
1417,2022-09-22,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",1834,46-55,Rabbit
1417,2022-10-23,Walking,33.0,,,1834,46-55,Rabbit
1417,2023-05-30,Walking,3.0,,,1834,46-55,Rabbit
1417,2023-09-02,Resting,43.0,,,1834,46-55,Rabbit
1417,2023-09-21,Playing,2.0,,,1834,46-55,Rabbit
1417,2023-09-29,Walking,62.0,,,1834,46-55,Rabbit
1441,2022-12-02,Resting,,,,8360,18-25,Hamster
1441,2023-06-07,Playing,14.0,,,8360,18-25,Hamster
1441,2023-11-17,Walking,85.0,,,8360,18-25,Hamster
1441,2023-12-09,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",8360,18-25,Hamster
1540,2022-12-17,Resting,,,,2614,26-35,Rabbit
1540,2023-01-24,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,2614,26-35,Rabbit
1564,2022-12-05,Resting,17.0,,,1621,18-25,Rabbit
1564,2023-02-02,Resting,40.0,,,1621,18-25,Rabbit
1564,2023-05-10,Walking,,,,1621,18-25,Rabbit
1585,2022-06-27,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4135,18-25,Fish
1585,2022-10-12,Resting,9.0,,,4135,18-25,Fish
1585,2023-04-23,Resting,48.0,,,4135,18-25,Fish
1585,2023-08-07,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",4135,18-25,Fish
1585,2023-11-24,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",4135,18-25,Fish
1585,2023-12-20,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",4135,18-25,Fish
1635,2022-11-20,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",674,26-35,Hamster
1635,2023-04-29,Resting,13.0,,,674,26-35,Hamster
1640,2022-09-01,Resting,,,,7642,36-45,Hamster
1640,2023-08-05,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",7642,36-45,Hamster
1640,2023-09-09,Resting,60.0,,,7642,36-45,Hamster
1678,2022-05-14,Walking,85.0,,,1146,36-45,Dog
1678,2023-02-03,Resting,,,,1146,36-45,Dog
1678,2023-02-20,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1146,36-45,Dog
1678,2023-05-15,Resting,84.0,,,1146,36-45,Dog
1678,2023-07-02,Walking,24.0,,,1146,36-45,Dog
1678,2023-07-09,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1146,36-45,Dog
1678,2023-09-01,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",1146,36-45,Dog
1735,2023-09-20,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",8142,56-65,Fish
1735,2023-09-23,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,8142,56-65,Fish
1735,2023-11-25,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",8142,56-65,Fish
1772,2022-09-04,Playing,61.0,,,8034,18-25,Cat
1772,2023-11-05,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",8034,18-25,Cat
1846,2022-08-10,Walking,31.0,,,9741,56-65,Rabbit
1846,2022-08-31,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",9741,56-65,Rabbit
1846,2022-09-16,Playing,43.0,,,9741,56-65,Rabbit
1846,2022-10-16,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,9741,56-65,Rabbit
1846,2023-02-05,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",9741,56-65,Rabbit
1888,2022-11-11,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",360,36-45,Fish
1888,2022-11-27,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,360,36-45,Fish
1888,2023-02-28,Walking,16.0,,,360,36-45,Fish
1888,2023-06-01,Resting,90.0,,,360,36-45,Fish
1888,2023-12-02,Playing,53.0,,,360,36-45,Fish
1901,2022-09-12,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",8648,56-65,Cat
1902,2022-08-31,Walking,,,,3039,36-45,Dog
1902,2023-03-05,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",3039,36-45,Dog
1906,2022-04-02,Resting,,,,4680,18-25,Rabbit
1906,2022-06-27,Walking,,,,4680,18-25,Rabbit
1906,2022-11-25,Resting,2.0,,,4680,18-25,Rabbit
1925,2022-06-17,Resting,22.0,,,2797,46-55,Dog
1925,2022-06-20,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",2797,46-55,Dog
1925,2022-06-25,Walking,54.0,,,2797,46-55,Dog
1925,2023-05-24,Walking,37.0,,,2797,46-55,Dog
1939,2022-10-06,Health,0.0,Injury,"Minor surgery performed, recovery monitored",8319,26-35,Cat
1939,2023-01-10,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",8319,26-35,Cat
1939,2023-01-19,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,8319,26-35,Cat
1939,2023-12-01,Playing,75.0,,,8319,26-35,Cat
1939,2023-12-24,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",8319,26-35,Cat
1949,2022-08-08,Walking,28.0,,,8827,46-55,Rabbit
1949,2023-01-04,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",8827,46-55,Rabbit
1949,2023-02-07,Playing,79.0,,,8827,46-55,Rabbit
1949,2023-02-14,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",8827,46-55,Rabbit
1949,2023-07-11,Walking,82.0,,,8827,46-55,Rabbit
1956,2022-07-25,Resting,43.0,,,2818,56-65,Rabbit
1956,2023-09-01,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",2818,56-65,Rabbit
1956,2023-09-24,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",2818,56-65,Rabbit
1956,2023-11-01,Playing,74.0,,,2818,56-65,Rabbit
1956,2023-11-16,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",2818,56-65,Rabbit
1963,2022-09-02,Resting,,,,3173,66+,Dog
1963,2022-12-25,Walking,,,,3173,66+,Dog
1963,2023-08-24,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",3173,66+,Dog
1963,2023-10-08,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",3173,66+,Dog
1968,2022-11-26,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",109,26-35,Cat
1968,2022-12-11,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",109,26-35,Cat
1993,2022-05-04,Playing,78.0,,,1558,66+,Hamster
2016,2023-03-02,Health,0.0,Injury,Physical therapy recommended for joint issues,6230,56-65,Dog
2016,2023-10-03,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6230,56-65,Dog
2016,2023-12-06,Playing,73.0,,,6230,56-65,Dog
2058,2022-04-19,Resting,78.0,,,4954,36-45,Fish
2058,2022-06-23,Resting,62.0,,,4954,36-45,Fish
2058,2022-06-26,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4954,36-45,Fish
2058,2022-10-31,Resting,,,,4954,36-45,Fish
2058,2023-08-29,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",4954,36-45,Fish
2058,2023-12-21,Playing,79.0,,,4954,36-45,Fish
2060,2022-09-13,Resting,69.0,,,9346,46-55,Hamster
2060,2022-12-06,Walking,61.0,,,9346,46-55,Hamster
2060,2022-12-19,Playing,,,,9346,46-55,Hamster
2060,2023-12-11,Walking,23.0,,,9346,46-55,Hamster
2094,2022-06-01,Resting,36.0,,,6511,46-55,Cat
