index,pet_id,date,activity_type,duration_minutes,issue,resolution,owner_id,owner_age_group,pet_type
1459,5037,2023-01-19,Health,0.0,Injury,"Minor surgery performed, recovery monitored",119,26-35,Fish
1386,5037,2023-01-20,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",119,26-35,Fish
774,5037,2023-09-21,Playing,17.0,,,119,26-35,Fish
439,7680,2022-04-09,Playing,55.0,,,129,66+,Rabbit
1639,7680,2023-06-22,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",129,66+,Rabbit
696,7680,2023-11-17,Playing,46.0,,,129,66+,Rabbit
1460,7680,2023-12-11,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,129,66+,Rabbit
1331,4339,2022-05-19,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",130,18-25,Rabbit
134,4339,2022-05-22,Walking,87.0,,,130,18-25,Rabbit
10,4339,2022-10-24,Walking,,,,130,18-25,Rabbit
1131,4339,2023-01-04,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",130,18-25,Rabbit
1483,4339,2023-01-18,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,130,18-25,Rabbit
218,4339,2023-05-13,Playing,2.0,,,130,18-25,Rabbit
853,3410,2022-07-04,Playing,10.0,,,153,66+,Dog
390,3410,2022-11-25,Walking,,,,153,66+,Dog
1298,8387,2022-07-09,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",160,36-45,Cat
1556,8387,2022-10-27,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",160,36-45,Cat
517,8387,2022-10-29,Playing,,,,160,36-45,Cat
1574,8387,2023-05-28,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,160,36-45,Cat
1746,8387,2023-09-14,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",160,36-45,Cat
604,2888,2022-08-05,Playing,64.0,,,187,36-45,Rabbit
1517,2888,2023-01-18,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",187,36-45,Rabbit
1723,2888,2023-02-01,Health,0.0,Injury,"Minor surgery performed, recovery monitored",187,36-45,Rabbit
761,2888,2023-08-14,Walking,66.0,,,187,36-45,Rabbit
594,2888,2023-11-09,Resting,52.0,,,187,36-45,Rabbit
694,2881,2022-07-17,Playing,,,,195,26-35,Fish
1325,2881,2022-12-10,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,195,26-35,Fish
541,2881,2023-03-01,Resting,31.0,,,195,26-35,Fish
632,8237,2022-10-27,Walking,49.0,,,200,66+,Fish
943,8237,2022-11-07,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",200,66+,Fish
531,8237,2023-10-09,Resting,89.0,,,200,66+,Fish
1509,8237,2023-11-11,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",200,66+,Fish
350,8237,2023-11-14,Walking,43.0,,,200,66+,Fish
1435,8237,2023-11-16,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",200,66+,Fish
1188,4768,2022-06-26,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",254,56-65,Dog
1277,4768,2022-07-04,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",254,56-65,Dog
1773,4768,2022-12-01,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,254,56-65,Dog
845,4768,2023-01-06,Playing,,,,254,56-65,Dog
1043,4768,2023-04-18,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",254,56-65,Dog
1474,4768,2023-05-19,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,254,56-65,Dog
1097,4768,2023-10-10,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,254,56-65,Dog
1534,4768,2023-10-30,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",254,56-65,Dog
1202,9558,2022-06-15,Health,0.0,Injury,Physical therapy recommended for joint issues,258,46-55,Rabbit
523,9558,2022-09-23,Playing,27.0,,,258,46-55,Rabbit
1757,9558,2023-03-05,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",258,46-55,Rabbit
1317,3300,2022-09-09,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",264,66+,Hamster
747,3300,2022-11-12,Walking,,,,264,66+,Hamster
1360,3300,2022-11-30,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",264,66+,Hamster
261,3300,2023-03-10,Playing,62.0,,,264,66+,Hamster
1363,3300,2023-03-30,Health,0.0,Injury,Physical therapy recommended for joint issues,264,66+,Hamster
1069,3300,2023-09-05,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",264,66+,Hamster
1631,5288,2022-04-24,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",290,56-65,Dog
1578,5288,2022-05-23,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",290,56-65,Dog
1488,5288,2023-09-11,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,290,56-65,Dog
1867,5288,2023-10-17,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,290,56-65,Dog
656,5288,2023-10-27,Resting,41.0,,,290,56-65,Dog
1529,2755,2023-01-24,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",310,18-25,Rabbit
873,2755,2023-03-02,Playing,31.0,,,310,18-25,Rabbit
1663,2755,2023-05-21,Health,0.0,Injury,Physical therapy recommended for joint issues,310,18-25,Rabbit
778,601,2023-03-01,Playing,42.0,,,321,18-25,Fish
1448,601,2023-04-19,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",321,18-25,Fish
1045,601,2023-07-21,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",321,18-25,Fish
141,601,2023-12-28,Playing,76.0,,,321,18-25,Fish
838,3100,2022-07-27,Walking,19.0,,,329,66+,Dog
1033,3100,2022-08-25,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",329,66+,Dog
449,3100,2023-06-17,Resting,3.0,,,329,66+,Dog
236,7716,2022-04-06,Playing,26.0,,,342,66+,Cat
508,7716,2022-05-17,Playing,8.0,,,342,66+,Cat
1231,7716,2022-08-19,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",342,66+,Cat
477,7716,2022-10-12,Resting,61.0,,,342,66+,Cat
1651,7716,2023-01-26,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",342,66+,Cat
1392,7716,2023-06-30,Health,0.0,Injury,"Minor surgery performed, recovery monitored",342,66+,Cat
1412,7716,2023-07-03,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",342,66+,Cat
71,7716,2023-10-17,Playing,90.0,,,342,66+,Cat
143,7716,2023-12-26,Playing,,,,342,66+,Cat
786,8868,2022-08-19,Walking,22.0,,,343,46-55,Rabbit
1401,8868,2023-04-30,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",343,46-55,Rabbit
843,9481,2022-12-28,Playing,90.0,,,351,36-45,Fish
1430,2415,2022-04-04,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",359,46-55,Rabbit
310,2415,2022-04-23,Walking,83.0,,,359,46-55,Rabbit
961,2415,2022-08-03,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",359,46-55,Rabbit
1445,2415,2022-10-05,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",359,46-55,Rabbit
231,2415,2022-10-28,Playing,68.0,,,359,46-55,Rabbit
1787,2415,2022-11-14,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,359,46-55,Rabbit
690,2415,2022-11-23,Playing,63.0,,,359,46-55,Rabbit
1393,2415,2022-12-28,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",359,46-55,Rabbit
1692,1888,2022-11-11,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",360,36-45,Fish
1632,1888,2022-11-27,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,360,36-45,Fish
733,1888,2023-02-28,Walking,16.0,,,360,36-45,Fish
132,1888,2023-06-01,Resting,90.0,,,360,36-45,Fish
607,1888,2023-12-02,Playing,53.0,,,360,36-45,Fish
1697,2843,2022-05-16,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",418,46-55,Hamster
1315,2843,2022-06-23,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",418,46-55,Hamster
835,2843,2023-06-27,Walking,11.0,,,418,46-55,Hamster
194,3466,2022-12-25,Resting,51.0,,,446,46-55,Hamster
732,3466,2023-10-02,Resting,,,,446,46-55,Hamster
578,9485,2022-08-22,Playing,,,,459,66+,Hamster
1419,9485,2022-09-25,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,459,66+,Hamster
723,9485,2023-02-09,Playing,63.0,,,459,66+,Hamster
1643,3484,2022-06-16,Health,0.0,Injury,"Minor surgery performed, recovery monitored",472,36-45,Hamster
1856,3484,2023-04-28,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",472,36-45,Hamster
1634,3484,2023-06-23,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,472,36-45,Hamster
1088,3484,2023-06-27,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",472,36-45,Hamster
514,3484,2023-10-07,Playing,64.0,,,472,36-45,Hamster
1042,3484,2023-10-09,Health,0.0,Injury,Physical therapy recommended for joint issues,472,36-45,Hamster
1379,4778,2022-05-11,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",477,56-65,Cat
504,4778,2022-10-12,Resting,18.0,,,477,56-65,Cat
327,4778,2023-02-04,Walking,87.0,,,477,56-65,Cat
423,4778,2023-02-24,Resting,15.0,,,477,56-65,Cat
1273,4778,2023-05-13,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",477,56-65,Cat
1170,4778,2023-10-06,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",477,56-65,Cat
318,7212,2023-04-21,Resting,26.0,,,479,18-25,Cat
1635,3723,2022-06-21,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",480,56-65,Dog
956,3723,2022-08-02,Health,0.0,Injury,"Minor surgery performed, recovery monitored",480,56-65,Dog
1587,3723,2022-10-18,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",480,56-65,Dog
1281,3723,2023-04-25,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,480,56-65,Dog
1292,3723,2023-10-02,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",480,56-65,Dog
1068,6838,2022-06-20,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",487,36-45,Rabbit
251,6838,2022-10-23,Resting,39.0,,,487,36-45,Rabbit
486,6838,2023-05-07,Playing,79.0,,,487,36-45,Rabbit
1396,6838,2023-07-09,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",487,36-45,Rabbit
1415,8572,2023-02-26,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",496,66+,Rabbit
634,8572,2023-07-21,Playing,4.0,,,496,66+,Rabbit
945,8572,2023-07-23,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",496,66+,Rabbit
1304,8572,2023-09-05,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",496,66+,Rabbit
1371,6919,2022-08-26,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,499,36-45,Hamster
710,6919,2022-09-17,Playing,90.0,,,499,36-45,Hamster
644,6919,2023-02-03,Walking,,,,499,36-45,Hamster
1524,6919,2023-03-01,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,499,36-45,Hamster
338,6919,2023-06-11,Walking,1.0,,,499,36-45,Hamster
1032,9684,2022-07-29,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",560,18-25,Hamster
1609,9684,2022-12-09,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",560,18-25,Hamster
435,9684,2023-01-11,Walking,38.0,,,560,18-25,Hamster
555,9684,2023-10-25,Playing,,,,560,18-25,Hamster
377,1297,2022-04-05,Playing,21.0,,,576,26-35,Fish
1128,1297,2022-05-05,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",576,26-35,Fish
1685,1297,2022-09-03,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",576,26-35,Fish
382,1297,2022-09-23,Resting,48.0,,,576,26-35,Fish
1537,1297,2022-12-31,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,576,26-35,Fish
42,1297,2023-02-11,Playing,51.0,,,576,26-35,Fish
769,1297,2023-11-04,Playing,64.0,,,576,26-35,Fish
150,7706,2022-11-01,Resting,60.0,,,592,56-65,Hamster
131,7706,2022-11-05,Walking,,,,592,56-65,Hamster
1099,7706,2023-11-05,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",592,56-65,Hamster
883,9706,2022-04-08,Playing,1.0,,,629,46-55,Rabbit
1492,9706,2023-02-25,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",629,46-55,Rabbit
1062,9706,2023-09-27,Health,0.0,Injury,"Minor surgery performed, recovery monitored",629,46-55,Rabbit
1133,9706,2023-10-12,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",629,46-55,Rabbit
1216,9179,2023-10-19,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",630,46-55,Rabbit
553,6859,2023-03-13,Walking,46.0,,,654,56-65,Cat
1349,6859,2023-11-06,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",654,56-65,Cat
749,6075,2023-06-09,Resting,11.0,,,655,26-35,Fish
1413,2284,2022-04-26,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",658,26-35,Rabbit
679,2284,2022-05-24,Resting,30.0,,,658,26-35,Rabbit
1720,9769,2023-05-13,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,659,46-55,Hamster
29,9769,2023-06-25,Playing,85.0,,,659,46-55,Hamster
83,2528,2022-09-24,Walking,13.0,,,667,26-35,Fish
1397,1635,2022-11-20,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",674,26-35,Hamster
366,1635,2023-04-29,Resting,13.0,,,674,26-35,Hamster
103,1261,2022-08-29,Walking,21.0,,,683,46-55,Dog
1523,1261,2023-02-23,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",683,46-55,Dog
243,1261,2023-07-26,Walking,,,,683,46-55,Dog
332,1261,2023-11-08,Playing,,,,683,46-55,Dog
180,7956,2022-07-11,Resting,,,,725,66+,Hamster
1484,7956,2022-12-06,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",725,66+,Hamster
1568,7956,2023-03-05,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",725,66+,Hamster
32,7956,2023-06-26,Walking,27.0,,,725,66+,Hamster
1249,7956,2023-08-22,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",725,66+,Hamster
148,3340,2022-09-02,Resting,59.0,,,755,18-25,Hamster
561,5555,2023-12-15,Playing,55.0,,,768,18-25,Cat
930,1239,2023-03-12,Resting,83.0,,,785,36-45,Fish
1563,1239,2023-05-01,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,785,36-45,Fish
712,1239,2023-09-21,Playing,5.0,,,785,36-45,Fish
711,1239,2023-10-09,Resting,4.0,,,785,36-45,Fish
184,1239,2023-11-14,Walking,64.0,,,785,36-45,Fish
1805,3612,2023-07-23,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",787,36-45,Fish
14,3612,2023-09-01,Walking,16.0,,,787,36-45,Fish
1039,3612,2023-12-04,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",787,36-45,Fish
585,3612,2023-12-09,Resting,34.0,,,787,36-45,Fish
170,6740,2023-03-25,Playing,63.0,,,797,46-55,Cat
933,1366,2022-11-25,Walking,33.0,,,818,56-65,Dog
1098,1366,2022-12-03,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,818,56-65,Dog
359,1366,2023-07-14,Walking,,,,818,56-65,Dog
964,1366,2023-10-08,Health,0.0,Injury,"Minor surgery performed, recovery monitored",818,56-65,Dog
1124,6032,2022-09-20,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",853,26-35,Cat
1501,6032,2023-10-27,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",853,26-35,Cat
1148,6032,2023-11-23,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",853,26-35,Cat
1025,6032,2023-12-01,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,853,26-35,Cat
1119,9960,2022-04-02,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,858,18-25,Cat
1251,9960,2022-07-22,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",858,18-25,Cat
1785,9960,2023-07-25,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,858,18-25,Cat
877,5789,2022-12-18,Playing,,,,885,26-35,Hamster
224,5789,2023-06-17,Playing,29.0,,,885,26-35,Hamster
528,5789,2023-07-03,Walking,68.0,,,885,26-35,Hamster
1813,5789,2023-09-07,Health,0.0,Injury,"Minor surgery performed, recovery monitored",885,26-35,Hamster
1051,5789,2023-09-26,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,885,26-35,Hamster
1165,9718,2022-09-22,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",901,26-35,Cat
931,9718,2022-11-17,Resting,59.0,,,901,26-35,Cat
1831,3569,2022-10-12,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,915,36-45,Dog
766,6824,2022-11-28,Walking,78.0,,,922,56-65,Cat
1291,6824,2023-03-20,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,922,56-65,Cat
19,3225,2022-04-12,Playing,9.0,,,936,26-35,Hamster
1522,3225,2022-06-26,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",936,26-35,Hamster
856,3225,2022-07-14,Playing,,,,936,26-35,Hamster
1698,3225,2022-09-07,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,936,26-35,Hamster
1696,3225,2022-11-11,Health,0.0,Injury,Physical therapy recommended for joint issues,936,26-35,Hamster
168,6917,2022-06-13,Playing,57.0,,,939,26-35,Dog
610,6917,2022-10-01,Resting,71.0,,,939,26-35,Dog
1204,6917,2023-11-22,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,939,26-35,Dog
939,9186,2022-05-15,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,948,66+,Rabbit
1319,9186,2022-10-23,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,948,66+,Rabbit
682,9186,2023-04-25,Resting,47.0,,,948,66+,Rabbit
689,9186,2023-05-29,Resting,18.0,,,948,66+,Rabbit
1777,6729,2022-06-03,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",980,46-55,Hamster
489,6729,2022-07-24,Playing,8.0,,,980,46-55,Hamster
396,6729,2023-11-24,Resting,78.0,,,980,46-55,Hamster
349,6729,2023-11-28,Resting,36.0,,,980,46-55,Hamster
1147,1060,2022-04-09,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1001,56-65,Rabbit
1084,1060,2022-08-02,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1001,56-65,Rabbit
374,1060,2023-09-23,Resting,41.0,,,1001,56-65,Rabbit
1782,1060,2023-12-02,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,1001,56-65,Rabbit
642,696,2022-12-10,Playing,35.0,,,1036,26-35,Rabbit
1213,696,2022-12-27,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1036,26-35,Rabbit
1332,696,2023-05-08,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1036,26-35,Rabbit
312,696,2023-11-30,Resting,70.0,,,1036,26-35,Rabbit
921,8631,2022-04-28,Resting,,,,1052,66+,Hamster
957,8631,2022-12-24,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",1052,66+,Hamster
841,8631,2023-05-20,Resting,29.0,,,1052,66+,Hamster
80,8631,2023-11-11,Walking,,,,1052,66+,Hamster
1005,2777,2023-11-08,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1085,66+,Hamster
1369,9900,2022-08-26,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1102,36-45,Dog
267,9900,2022-10-30,Walking,82.0,,,1102,36-45,Dog
948,9900,2023-02-02,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1102,36-45,Dog
1839,6556,2022-04-06,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1107,56-65,Dog
1212,6556,2022-05-22,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1107,56-65,Dog
1742,6556,2023-07-08,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",1107,56-65,Dog
182,6556,2023-08-15,Walking,,,,1107,56-65,Dog
1819,6556,2023-09-03,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1107,56-65,Dog
1857,6556,2023-12-09,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,1107,56-65,Dog
478,6556,2023-12-23,Playing,58.0,,,1107,56-65,Dog
777,1678,2022-05-14,Walking,85.0,,,1146,36-45,Dog
317,1678,2023-02-03,Resting,,,,1146,36-45,Dog
1747,1678,2023-02-20,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1146,36-45,Dog
177,1678,2023-05-15,Resting,84.0,,,1146,36-45,Dog
185,1678,2023-07-02,Walking,24.0,,,1146,36-45,Dog
1836,1678,2023-07-09,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1146,36-45,Dog
1497,1678,2023-09-01,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",1146,36-45,Dog
1798,5194,2022-05-23,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1201,56-65,Dog
208,5194,2022-09-17,Walking,25.0,,,1201,56-65,Dog
160,2262,2022-05-13,Resting,,,,1208,26-35,Rabbit
566,2262,2023-08-10,Walking,,,,1208,26-35,Rabbit
641,7004,2023-03-21,Resting,4.0,,,1231,66+,Dog
1849,7004,2023-11-30,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1231,66+,Dog
1020,1173,2023-02-14,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,1251,56-65,Cat
78,1173,2023-06-28,Playing,72.0,,,1251,56-65,Cat
1475,5503,2022-06-09,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,1269,46-55,Cat
386,5503,2022-07-05,Resting,25.0,,,1269,46-55,Cat
537,5503,2022-12-01,Playing,,,,1269,46-55,Cat
1176,5503,2023-04-30,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,1269,46-55,Cat
340,4690,2022-11-06,Playing,79.0,,,1279,66+,Dog
1511,4690,2023-06-13,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",1279,66+,Dog
1100,4690,2023-09-01,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",1279,66+,Dog
1775,4690,2023-11-29,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,1279,66+,Dog
839,4690,2023-12-06,Walking,70.0,,,1279,66+,Dog
1682,8103,2022-06-21,Health,0.0,Injury,Physical therapy recommended for joint issues,1336,26-35,Fish
341,8103,2022-08-19,Resting,8.0,,,1336,26-35,Fish
1347,8103,2022-12-12,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1336,26-35,Fish
1664,8103,2023-12-06,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,1336,26-35,Fish
58,3088,2022-06-23,Walking,8.0,,,1339,18-25,Hamster
1712,3088,2022-07-03,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1339,18-25,Hamster
272,3088,2022-10-15,Playing,69.0,,,1339,18-25,Hamster
1076,3088,2023-03-23,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",1339,18-25,Hamster
258,3088,2023-07-18,Walking,4.0,,,1339,18-25,Hamster
372,3088,2023-08-26,Walking,87.0,,,1339,18-25,Hamster
762,884,2022-04-01,Walking,79.0,,,1349,46-55,Cat
1417,2590,2022-04-22,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1365,26-35,Dog
1405,2590,2023-01-13,Health,0.0,Injury,"Minor surgery performed, recovery monitored",1365,26-35,Dog
161,2590,2023-12-11,Playing,,,,1365,26-35,Dog
1843,2590,2023-12-14,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1365,26-35,Dog
1423,473,2022-06-22,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,1387,56-65,Hamster
846,473,2022-11-05,Walking,53.0,,,1387,56-65,Hamster
190,473,2023-03-21,Walking,35.0,,,1387,56-65,Hamster
849,6102,2022-09-24,Walking,28.0,,,1403,46-55,Hamster
1149,6102,2022-10-12,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,1403,46-55,Hamster
874,6102,2023-01-07,Resting,39.0,,,1403,46-55,Hamster
147,6102,2023-03-16,Walking,,,,1403,46-55,Hamster
197,6102,2023-09-16,Playing,14.0,,,1403,46-55,Hamster
1795,6102,2023-11-16,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,1403,46-55,Hamster
1199,6376,2022-04-04,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",1407,56-65,Rabbit
